id,image,descriptions,context,topic,anon_worker_id,trial_number,final_description,img_id,descr_length,word_count
11,"1600px-2019-11-28_14_40_55_A_dinner_table_laid_out_for_Thanksgiving_Dinner_in_the_Parkway_Village_section_of_Ewing_Township,_Mercer_County,_New_Jersey.jpg","A traditional American meal filling up a table. There is a red table cloth and plate settings. In addition, there are red solo cups for drinks. Food  items include pie, vegetables, mashed potatoes, deviled eggs, and shredded chicken.",Dinner,laid_table,406286876794715,5,"A traditional American meal filling up a table. There is a red table cloth and plate settings. In addition, there are red solo cups for drinks. Food  items include pie, vegetables, mashed potatoes, deviled eggs, and shredded chicken.",laid_table12,233,39
12,"1599px-20191002_Fußball,_Männer,_UEFA_Champions_League,_RB_Leipzig_-_Olympique_Lyonnais_by_Stepro_StP_0278.jpg",Five soccer players in blue jerseys are celebrating a good play.,Advertising,soccer_in_progress,017584433716161,0,Five soccer players in blue jerseys are celebrating a good play.,soccer_in_progress13,64,12
13,Atelier_à_l'IFB_-_11_&_12_Mars_2020_(3).jpg,About one dozen people are sitting at a large table looking at their laptop computers.,Furniture,meeting_in_progress,017584433716161,1,About one dozen people are sitting at a large table looking at their laptop computers.,meeting_in_progress7,86,16
14,Dreifaltigkeitskirche_süd.jpg,"A large, red brick church is in the background behind many tombstones.",Building material,church,017584433716161,2,"A large, red brick church is in the background behind many tombstones.",church4,70,13
15,"Thanksgiving_Dinner_Table,_Broward_County_Florida,_1971_02.jpg",A table is set with a large turkey while a person is opening a bottle of wine.,American cuisine,laid_table,017584433716161,3,A table is set with a large turkey while a person is opening a bottle of wine.,laid_table14,78,18
16,wiki_livingroom.jpg,"A living room with three people sitting on flowery furniture, talking with each other.",Interior design,living_room,017584433716161,4,"A living room with three people sitting on flowery furniture, talking with each other.",living_room15,86,15
17,"Oberaargletscher_from_Oberaar,_2010_07.jpeg",A lake is in the foreground with mountain peaks in the background.,Body of water,mountains,017584433716161,5,A lake is in the foreground with mountain peaks in the background.,mountains16,66,13
18,"1599px-20180920_Fussball,_UEFA_Europa_League,_RB_Leipzig_-_FC_Salzburg_by_Stepro_StP_8051.jpg","Soccer players on the field, in front of signs in the stadium displaying advertisements.",Advertising,soccer_in_progress,615077043263652,0,"Soccer players on the field, in front of signs in the stadium displaying advertisements.",soccer_in_progress10,88,15
19,Living_room_at_35_Yowani_Rd_Rosedale_NSW_all_burnt_in_2019-12-19_bushfire.jpg,An interior living room with a couch and chairs arranged around a coffee table facing a fireplace and windows.,Interior design,living_room,615077043263652,1,An interior living room with a couch and chairs arranged around a coffee table facing a fireplace and windows.,living_room11,110,20
20,"1443px-Iglesia_Nova_Gracanica,_Trebinje,_Bosnia_y_Herzegovina,_2014-04-14,_DD_04.jpg",The exterior of a church building with three gold crosses adorning the rounded roof.,Christian cross,church,615077043263652,2,The exterior of a church building with three gold crosses adorning the rounded roof.,church8,84,15
21,Earth_to_Table_DInner_with_Gunnar_Karl_Gíslason_(15640694895).jpg,Several members of a kitchen staff plating multiple plates of food in a professional kitchen,American cuisine,laid_table,615077043263652,4,Several members of a kitchen staff plating multiple plates of food in a professional kitchen,laid_table3,92,15
22,1600px-Covariant_Founding_Team_at_Covariant_HQ_Anno_November_2017.jpg,"Four people in a white office space with windows, using laptops and a whiteboard",Furniture,meeting_in_progress,615077043263652,5,"Four people in a white office space with windows, using laptops and a whiteboard",meeting_in_progress17,80,14
23,Earth_to_Table_DInner_with_Gunnar_Karl_Gíslason_(15640694895).jpg,The image is of a commercial kitchen where seven people are plating food. The food is very sparse on each plate. The plates are white and the people are dressed in white shirts with white or dark colored aprons.  It looks like each person is adding their assigned ingredient to the dish.  The people are primarily white males with one Asian female included. I believe the dish is a strip of meat with greens on top.,American cuisine,laid_table,715472084872634,0,The image is of a commercial kitchen where seven people are plating food. The food is very sparse on each plate. The plates are white and the people are dressed in white shirts with white or dark colored aprons.  It looks like each person is adding their assigned ingredient to the dish.  The people are primarily white males with one Asian female included. I believe the dish is a strip of meat with greens on top.,laid_table3,415,77
24,"1443px-Iglesia_Nova_Gracanica,_Trebinje,_Bosnia_y_Herzegovina,_2014-04-14,_DD_04.jpg","This picture is of a very interesting and complex religious structure, or church.  It is multi-leveled and made of brick and stone.  The are multiple turrets with rounded sides and tops.  The tops of the turrets have black tops. Three of the turrets have a gold cross with finial ends on three sides.  The turrets also have small vertical windows with only five small holes in each window for light. The structure has layered stone with three strips of brick between each of many layers.  The structure is surrounded by a large paved area and appears to be located on a scenic lookout.|This picture is of a very interesting and complex religious structure, or church.  It is multi-leveled and made of brick and stone.  The are multiple turrets with rounded sides and tops.  The tops of the turrets are black. Three of the turrets have a gold cross with finial ends on three sides.  The turrets also have small vertical windows with only five small holes in each window for light. The structure has layered stone with three strips of brick between each of many layers.  The structure is surrounded by a large paved area and appears to be located on a scenic lookout.",Christian cross,church,715472084872634,1,"This picture is of a very interesting and complex religious structure, or church.  It is multi-leveled and made of brick and stone.  The are multiple turrets with rounded sides and tops.  The tops of the turrets are black. Three of the turrets have a gold cross with finial ends on three sides.  The turrets also have small vertical windows with only five small holes in each window for light. The structure has layered stone with three strips of brick between each of many layers.  The structure is surrounded by a large paved area and appears to be located on a scenic lookout.",church8,579,104
25,La_Trobe_Uni_Wikimeetup_March_2020.jpg,This picture shows nine people of varying ages and sex sitting around a conference table.  The room there are in is large and bright with one wall of only windows looking out upon the structure.  Each individual is smiling at the camera.  They all have some type of laptop in front of them.  They are dressed in casual business attire.,Consumer electronics,meeting_in_progress,715472084872634,2,This picture shows nine people of varying ages and sex sitting around a conference table.  The room there are in is large and bright with one wall of only windows looking out upon the structure.  Each individual is smiling at the camera.  They all have some type of laptop in front of them.  They are dressed in casual business attire.,meeting_in_progress2,335,61
26,wiki_livingroom.jpg,This image shows three young males sitting in a den of what looks like a tudor-style home.  There is a brick fireplace on the right side with a large square coffee table across from it.  The seating is arranged around the coffee table and looks like a floral sofa and two matching chairs.  There is a large three-section window at the back of the picture with open drapes.,Window,living_room,715472084872634,4,This image shows three young males sitting in a den of what looks like a tudor-style home.  There is a brick fireplace on the right side with a large square coffee table across from it.  The seating is arranged around the coffee table and looks like a floral sofa and two matching chairs.  There is a large three-section window at the back of the picture with open drapes.,living_room15,372,71
27,"1599px-20180920_Fussball,_UEFA_Europa_League,_RB_Leipzig_-_FC_Salzburg_by_Stepro_StP_8051.jpg","This picture is of a soccer match.  One player is kneeling on the ground while two other players from the opposing team are nearby, trying to get the ball.  The player on the ground is grabbing the leg of one of his opponents. An official is hurrying to the scene.",Advertising,soccer_in_progress,715472084872634,5,"This picture is of a soccer match.  One player is kneeling on the ground while two other players from the opposing team are nearby, trying to get the ball.  The player on the ground is grabbing the leg of one of his opponents. An official is hurrying to the scene.",soccer_in_progress10,264,51
28,"Thanksgiving_Dinner_Table,_Broward_County_Florida,_1971_02.jpg",A table is set in a home and a turkey and wine are on the table.,American cuisine,laid_table,499507542030900,0,A table is set in a home and a turkey and wine are on the table.,laid_table14,64,17
29,Dreifaltigkeitskirche_süd.jpg,A church building is shown that has a cemetery in front of it.,Roof,church,499507542030900,1,A church building is shown that has a cemetery in front of it.,church4,62,14
30,"Lago_de_Como,_Italia,_2016-06-25,_DD_02-06_PAN.jpeg",There are mountains around a body of water that include neighborhoods.,Montane Ecosystems,mountains,499507542030900,2,There are mountains around a body of water that include neighborhoods.,mountains9,70,12
31,La_Trobe_Uni_Wikimeetup_March_2020.jpg,A group of people are at a table with computers in an office.,Cooperation,meeting_in_progress,499507542030900,3,A group of people are at a table with computers in an office.,meeting_in_progress2,61,14
32,"1599px-Georgios_Ntaviotis_&_Daniel_Souček,_U21_CZE-GRE_2019-10-10.jpg",Two men are playing a soccer game in front of spectators.,Competition,soccer_in_progress,499507542030900,4,Two men are playing a soccer game in front of spectators.,soccer_in_progress1,57,12
33,Living_room_at_35_Yowani_Rd_Rosedale_NSW_all_burnt_in_2019-12-19_bushfire.jpg,A living room in a home with furniture and large glass windows showing daylight coming in.,Window,living_room,499507542030900,5,A living room in a home with furniture and large glass windows showing daylight coming in.,living_room11,90,17
34,Atelier_à_l'IFB_-_11_&_12_Mars_2020_(3).jpg,a group of people sit around a conference table in front of laptop computers.,Cooperation,meeting_in_progress,637353973686799,0,a group of people sit around a conference table in front of laptop computers.,meeting_in_progress7,77,15
35,wiki_livingroom.jpg,three people sit on couches in a living room next to a coffee table.  they are in front of a 3-pane window.,Window,living_room,637353973686799,1,three people sit on couches in a living room next to a coffee table.  they are in front of a 3-pane window.,living_room15,107,24
36,river.jpeg,"a wilderness scene with pine trees, mountains and a winding river which wraps around hills in the middle of the image.",Orogeny,mountains,637353973686799,2,"a wilderness scene with pine trees, mountains and a winding river which wraps around hills in the middle of the image.",mountains18,118,22
37,"1599px-20191002_Fußball,_Männer,_UEFA_Champions_League,_RB_Leipzig_-_Olympique_Lyonnais_by_Stepro_StP_0278.jpg",a group of soccer players in blue uniforms are celebrating something on a field in front of a large crowd.  each player has a distinct and different haircut.,Hairstyle,soccer_in_progress,637353973686799,3,a group of soccer players in blue uniforms are celebrating something on a field in front of a large crowd.  each player has a distinct and different haircut.,soccer_in_progress13,157,29
38,Earth_to_Table_DInner_with_Gunnar_Karl_Gíslason_(15640694895).jpg,"a group of kitchen workers and chefs, mostly in white coats, work on a large number of plated dishes on a center kitchen island. they are located in restaurant kitchen.",American cuisine,laid_table,637353973686799,4,"a group of kitchen workers and chefs, mostly in white coats, work on a large number of plated dishes on a center kitchen island. they are located in restaurant kitchen.",laid_table3,168,31
39,Dreifaltigkeitskirche_süd.jpg,"a red brick church is in the midground of the image.  a cross is located on top of its steeple  in the foreground are a number of very worn, old gravestones.",Christian cross,church,637353973686799,5,"a red brick church is in the midground of the image.  a cross is located on top of its steeple  in the foreground are a number of very worn, old gravestones.",church4,157,32
40,"Thanksgiving_Dinner_Table,_Broward_County_Florida,_1971_02.jpg","A typical American dinner, as presented for a special occasion or holiday.",American cuisine,laid_table,285816600588144,0,"A typical American dinner, as presented for a special occasion or holiday.",laid_table14,74,13
41,La_Trobe_Uni_Wikimeetup_March_2020.jpg,A team of professional employees participating in a group meeting to achieve a predetermined goal.,Cooperation,meeting_in_progress,285816600588144,1,A team of professional employees participating in a group meeting to achieve a predetermined goal.,meeting_in_progress2,98,16
42,river.jpeg,This is a river flowing in the valley of a mountain. It is surrounded by shallow hills and trees.,Body of water,mountains,285816600588144,2,This is a river flowing in the valley of a mountain. It is surrounded by shallow hills and trees.,mountains18,97,20
43,"1599px-Georgios_Ntaviotis_&_Daniel_Souček,_U21_CZE-GRE_2019-10-10.jpg",A tense moment in a soccer competition where one player has lost control of the ball and has fallen.,Competition,soccer_in_progress,285816600588144,3,A tense moment in a soccer competition where one player has lost control of the ball and has fallen.,soccer_in_progress1,100,20
44,1599px-Paris_Notre-Dame_East_View_02.jpeg,"An old, European cathedral, whose materials have withstood the test of time.",Building material,church,285816600588144,4,"An old, European cathedral, whose materials have withstood the test of time.",church19,76,13
45,Living_room_at_35_Yowani_Rd_Rosedale_NSW_all_burnt_in_2019-12-19_bushfire.jpg,"A newly designed living room, which includes matching bamboo furniture with one couch, three chairs, one coffee table, and one side table.",Interior design,living_room,285816600588144,5,"A newly designed living room, which includes matching bamboo furniture with one couch, three chairs, one coffee table, and one side table.",living_room11,138,23
46,"Thanksgiving_Dinner_Table,_Broward_County_Florida,_1971_02.jpg","The image shows a table set for a meal, with a turkey and a certerpiece of flowers.  The table is set with glasses, cutlery, plates, and napkins.",Tableware,laid_table,030095668970457,0,"The image shows a table set for a meal, with a turkey and a certerpiece of flowers.  The table is set with glasses, cutlery, plates, and napkins.",laid_table14,145,28
47,La_Trobe_Uni_Wikimeetup_March_2020.jpg,The picture shows a group of people sitting around a table.  Most of the people have open laptop computers.,Consumer electronics,meeting_in_progress,030095668970457,1,The picture shows a group of people sitting around a table.  Most of the people have open laptop computers.,meeting_in_progress2,107,20
48,river.jpeg,The image shows a winding river in a forested area.,Body of water,mountains,030095668970457,2,The image shows a winding river in a forested area.,mountains18,51,11
49,Wohnzimmer_Fallada_1.JPG,"The image shows a dining room, with chairs set around a round table, and a china cabinet in the corner, and a chandelier overhead.  A second room with a red bookshelf and chair is visible.",Interior design,living_room,030095668970457,3,"The image shows a dining room, with chairs set around a round table, and a china cabinet in the corner, and a chandelier overhead.  A second room with a red bookshelf and chair is visible.",living_room6,188,36
50,"1443px-Iglesia_Nova_Gracanica,_Trebinje,_Bosnia_y_Herzegovina,_2014-04-14,_DD_04.jpg","The image shows a house of worship, with gold crosses mounted on two of the towers.",Christian cross,church,030095668970457,4,"The image shows a house of worship, with gold crosses mounted on two of the towers.",church8,83,17
51,"1599px-20180920_Fussball,_UEFA_Europa_League,_RB_Leipzig_-_FC_Salzburg_by_Stepro_StP_8051.jpg",The image shows several soccer players while a game is in progress.  Several advertising logos are visible on one of the player's jerseys.,Advertising,soccer_in_progress,030095668970457,5,The image shows several soccer players while a game is in progress.  Several advertising logos are visible on one of the player's jerseys.,soccer_in_progress10,138,25
52,Atelier_à_l'IFB_-_11_&_12_Mars_2020_(3).jpg,There's a group of 12 people sitting around a long table. Everyone has a laptop in front of them and there's a projection screen on the back wall. This group of people consist of mainly all males except 2 females.,Cooperation,meeting_in_progress,531938104534147,0,There's a group of 12 people sitting around a long table. Everyone has a laptop in front of them and there's a projection screen on the back wall. This group of people consist of mainly all males except 2 females.,meeting_in_progress7,213,43
53,Earth_to_Table_DInner_with_Gunnar_Karl_Gíslason_(15640694895).jpg,There are 6 people in a restaurant kitchen prepping more than 25 dishes of the same food. Each plate has a thin and medium length piece of meat and some green leafs on top. The people prepping the food are all males except one female. They are all dress very similar with either a white or black apron.,American cuisine,laid_table,531938104534147,1,There are 6 people in a restaurant kitchen prepping more than 25 dishes of the same food. Each plate has a thin and medium length piece of meat and some green leafs on top. The people prepping the food are all males except one female. They are all dress very similar with either a white or black apron.,laid_table3,302,59
54,"1599px-Georgios_Ntaviotis_&_Daniel_Souček,_U21_CZE-GRE_2019-10-10.jpg",Two soccer players of opposing teams. One player is on the ground with both knees touching the grass and the other is standing up. The soccer ball is close by but it is in mid air. One player has an all white uniform with blue lettering and the other is a mix between blue and burgundy with white lettering.,Competition,soccer_in_progress,531938104534147,2,Two soccer players of opposing teams. One player is on the ground with both knees touching the grass and the other is standing up. The soccer ball is close by but it is in mid air. One player has an all white uniform with blue lettering and the other is a mix between blue and burgundy with white lettering.,soccer_in_progress1,307,60
55,river.jpeg,There's a river between two bodies of land. On one side there is mountains and on the other lots of trees and hills. The landscape is very green and the river has a muddy look to it.,Body of water,mountains,531938104534147,3,There's a river between two bodies of land. On one side there is mountains and on the other lots of trees and hills. The landscape is very green and the river has a muddy look to it.,mountains18,182,39
56,"1443px-Iglesia_Nova_Gracanica,_Trebinje,_Bosnia_y_Herzegovina,_2014-04-14,_DD_04.jpg","There is a church that is seen alone and it is surrounded by mountains in the background. The materials of the church vary, oranges bricks can be seen along the side of the church going in a straight line and bricks are also used in all of the contour lines in windows and arcs. Some small portions of the church are cement but for the most part it looks like the church is made out of stone which is light brown.",Building material,church,531938104534147,4,"There is a church that is seen alone and it is surrounded by mountains in the background. The materials of the church vary, oranges bricks can be seen along the side of the church going in a straight line and bricks are also used in all of the contour lines in windows and arcs. Some small portions of the church are cement but for the most part it looks like the church is made out of stone which is light brown.",church8,413,82
57,Wohnzimmer_Fallada_1.JPG,There are wooden chairs around a round table that is also made out of wood. To the side of the table there is a wooden cabinet with glass doors used to keep tea cups.,Furniture,living_room,531938104534147,5,There are wooden chairs around a round table that is also made out of wood. To the side of the table there is a wooden cabinet with glass doors used to keep tea cups.,living_room6,166,35
58,Wohnzimmer_Fallada_1.JPG,"A dining room with a large window behind the seats of the table on the left wall. A doorway is on the back wall, heading into another lit room by the light coming from the window on the backwall.",Window,living_room,768061387527396,0,"A dining room with a large window behind the seats of the table on the left wall. A doorway is on the back wall, heading into another lit room by the light coming from the window on the backwall.",living_room6,195,40
59,"Lago_de_Como,_Italia,_2016-06-25,_DD_02-06_PAN.jpeg",A zoomed out image of the view of a mountain range with a body of water in front. The photo taker stands from another mountain on the other side with many homes at the bottom of the mountains.,Montane Ecosystems,mountains,768061387527396,1,A zoomed out image of the view of a mountain range with a body of water in front. The photo taker stands from another mountain on the other side with many homes at the bottom of the mountains.,mountains9,192,39
60,"1600px-2019-11-28_14_40_55_A_dinner_table_laid_out_for_Thanksgiving_Dinner_in_the_Parkway_Village_section_of_Ewing_Township,_Mercer_County,_New_Jersey.jpg","There is a table set for dinner. The meal consists of some chicken, fruit, potatoes, salad, etc. There is also a picnic patterned placemet over the wood table.",Tableware,laid_table,768061387527396,2,"There is a table set for dinner. The meal consists of some chicken, fruit, potatoes, salad, etc. There is also a picnic patterned placemet over the wood table.",laid_table12,159,29
61,Dreifaltigkeitskirche_süd.jpg,"There is an image of an old church, with a cemetary right outside the building. The cemetary has many gray stombstones, and the exterior of the church itself is worn.",Roof,church,768061387527396,3,"There is an image of an old church, with a cemetary right outside the building. The cemetary has many gray stombstones, and the exterior of the church itself is worn.",church4,166,31
62,Atelier_à_l'IFB_-_11_&_12_Mars_2020_(3).jpg,"An office room with one table, and around 11 or 12 people sitting at the table with laptops and electronics. The people are all men, and are all african.",Furniture,meeting_in_progress,768061387527396,4,"An office room with one table, and around 11 or 12 people sitting at the table with laptops and electronics. The people are all men, and are all african.",meeting_in_progress7,153,30
63,"1599px-Georgios_Ntaviotis_&_Daniel_Souček,_U21_CZE-GRE_2019-10-10.jpg","This image takes place during a professional soccer game. The one man is on both knees after either being fouled, or hitting the ball with his head. There is a crowd in the stands watching.",Hairstyle,soccer_in_progress,768061387527396,5,"This image takes place during a professional soccer game. The one man is on both knees after either being fouled, or hitting the ball with his head. There is a crowd in the stands watching.",soccer_in_progress1,189,36
64,Earth_to_Table_DInner_with_Gunnar_Karl_Gíslason_(15640694895).jpg,A group of chefs is preparing a meal,American cuisine,laid_table,316387867167865,0,A group of chefs is preparing a meal,laid_table3,36,8
65,Living_room_at_35_Yowani_Rd_Rosedale_NSW_all_burnt_in_2019-12-19_bushfire.jpg,"A living room with a small TV, three chairs, a sofa, a coffee table, and a bookcase full of knick-knacks",Interior design,living_room,316387867167865,1,"A living room with a small TV, three chairs, a sofa, a coffee table, and a bookcase full of knick-knacks",living_room11,104,21
66,Atelier_à_l'IFB_-_11_&_12_Mars_2020_(3).jpg,A group of Black people with laptops set around a table listening to a presentation,Consumer electronics,meeting_in_progress,316387867167865,2,A group of Black people with laptops set around a table listening to a presentation,meeting_in_progress7,83,15
67,"Lago_de_Como,_Italia,_2016-06-25,_DD_02-06_PAN.jpeg",A shot of a hillside town in the day with mountains and a huge lake,Montane Ecosystems,mountains,316387867167865,3,A shot of a hillside town in the day with mountains and a huge lake,mountains9,67,15
68,1599px-Paris_Notre-Dame_East_View_02.jpeg,"A shot of Notre Dame de Paris from the back, showing its flying buttresses",Building material,church,316387867167865,4,"A shot of Notre Dame de Paris from the back, showing its flying buttresses",church19,74,14
69,"1599px-Georgios_Ntaviotis_&_Daniel_Souček,_U21_CZE-GRE_2019-10-10.jpg",One football player is kneeling while one on another team stands behind him. The ball is flying through the air and the seats are full of fans,Advertising,soccer_in_progress,316387867167865,5,One football player is kneeling while one on another team stands behind him. The ball is flying through the air and the seats are full of fans,soccer_in_progress1,142,27
70,"Lago_de_Como,_Italia,_2016-06-25,_DD_02-06_PAN.jpeg",A set of green and large mountains facing what would be a huge blue sea.,Body of water,mountains,450264984510535,0,A set of green and large mountains facing what would be a huge blue sea.,mountains9,72,16
71,Earth_to_Table_DInner_with_Gunnar_Karl_Gíslason_(15640694895).jpg,"The image depicts a group of people dressed in a chef’s costume, using what would be the main meals of a restaurant as part of the restaurant’s cuisine. Food dishes are a kind of thin, rectangular roasted meat with a green touch on top.",American cuisine,laid_table,450264984510535,1,"The image depicts a group of people dressed in a chef’s costume, using what would be the main meals of a restaurant as part of the restaurant’s cuisine. Food dishes are a kind of thin, rectangular roasted meat with a green touch on top.",laid_table3,236,47
72,"1599px-Georgios_Ntaviotis_&_Daniel_Souček,_U21_CZE-GRE_2019-10-10.jpg","The image depicts two football players from different rival teams, who are vying for dominance of the ball in the middle of the football field. There is a kneeling player on the field with a pain/surprise expression while the second player stands behind him watching the ball, which rises in the air and goes in the direction of him.",Competition,soccer_in_progress,450264984510535,2,"The image depicts two football players from different rival teams, who are vying for dominance of the ball in the middle of the football field. There is a kneeling player on the field with a pain/surprise expression while the second player stands behind him watching the ball, which rises in the air and goes in the direction of him.",soccer_in_progress1,333,61
73,1599px-Paris_Notre-Dame_East_View_02.jpeg,"In the photo you can see a huge cathedral of Gothic architecture in the middle of what appears to be trees, or an elaborate garden. The colors of the cathedral range from ivory to light emerald, without becoming intense. Although it is not done directly incapié, the photo frames the roof of the cathedral.",Roof,church,450264984510535,3,"In the photo you can see a huge cathedral of Gothic architecture in the middle of what appears to be trees, or an elaborate garden. The colors of the cathedral range from ivory to light emerald, without becoming intense. Although it is not done directly incapié, the photo frames the roof of the cathedral.",church19,306,55
74,Atelier_à_l'IFB_-_11_&_12_Mars_2020_(3).jpg,"The photo shows a meeting between African Americans, who are inside what appears to be a closed office or a meeting room. They all have in mind the fact that they are sitting on black alcochonated chairs while they are around a large wooden table.",Furniture,meeting_in_progress,450264984510535,4,"The photo shows a meeting between African Americans, who are inside what appears to be a closed office or a meeting room. They all have in mind the fact that they are sitting on black alcochonated chairs while they are around a large wooden table.",meeting_in_progress7,247,46
75,Wohnzimmer_Fallada_1.JPG,"The image is of a living room where there is a round wooden dining room with four chairs around. On the left side of the dining room, on the brown wall, is a window covered by a white lace curtain that is being moved by the breeze pass to the house. Behind the dining room, deep in the living room. You can also see another window facing the garden, which is accompanied by a small shelf with a few objects inside.",Window,living_room,450264984510535,5,"The image is of a living room where there is a round wooden dining room with four chairs around. On the left side of the dining room, on the brown wall, is a window covered by a white lace curtain that is being moved by the breeze pass to the house. Behind the dining room, deep in the living room. You can also see another window facing the garden, which is accompanied by a small shelf with a few objects inside.",living_room6,414,82
76,La_Trobe_Uni_Wikimeetup_March_2020.jpg,A group of men and women sitting around a table in a window filled room with their laptop computers in front of them.  They are all looking at the camera and smiling as if they were posing  for the picture.,Consumer electronics,meeting_in_progress,741822857085471,0,A group of men and women sitting around a table in a window filled room with their laptop computers in front of them.  They are all looking at the camera and smiling as if they were posing  for the picture.,meeting_in_progress2,206,41
77,river.jpeg,A river flowing through a valley with low hills in the forefront and high snow-peaked mountains in the distance.  The mountain peaks are partially cloud covered.,Orogeny,mountains,741822857085471,1,A river flowing through a valley with low hills in the forefront and high snow-peaked mountains in the distance.  The mountain peaks are partially cloud covered.,mountains18,161,28
78,"1600px-2019-11-28_14_40_55_A_dinner_table_laid_out_for_Thanksgiving_Dinner_in_the_Parkway_Village_section_of_Ewing_Township,_Mercer_County,_New_Jersey.jpg","A rectangular table with a red plaid table cloth on it and wooden chairs around it.  The table is set with 5 place setting, each with a plate and red solo cup.  Each setting has a bowl of salad in front of it.  There are various food items in the middle of the table in serving dishes.  The food items look like they could be from a Thanksgiving dinner.",American cuisine,laid_table,741822857085471,2,"A rectangular table with a red plaid table cloth on it and wooden chairs around it.  The table is set with 5 place setting, each with a plate and red solo cup.  Each setting has a bowl of salad in front of it.  There are various food items in the middle of the table in serving dishes.  The food items look like they could be from a Thanksgiving dinner.",laid_table12,353,70
79,"1599px-Georgios_Ntaviotis_&_Daniel_Souček,_U21_CZE-GRE_2019-10-10.jpg",Two soccer players in the middle of a soccer field with a stands in the background.  The player in the foreground is wearing an all white uniform and is on his knees after making a play on the soccer ball which can be seen above him.  The player behind him is wearing a red shirt with blue shorts and appears to be watching the play in front of him.,Competition,soccer_in_progress,741822857085471,3,Two soccer players in the middle of a soccer field with a stands in the background.  The player in the foreground is wearing an all white uniform and is on his knees after making a play on the soccer ball which can be seen above him.  The player behind him is wearing a red shirt with blue shorts and appears to be watching the play in front of him.,soccer_in_progress1,349,70
80,Living_room_at_35_Yowani_Rd_Rosedale_NSW_all_burnt_in_2019-12-19_bushfire.jpg,"A room with two large windows to the rear of it.  In the center of a room is a coffee table.  There are three chairs and a couch arranged around the coffee table.  The chairs and the couch are all matching and appear to be made of wicker, they all have comfortable pillows and cushions on them.  There is a writing desk in the right corner of the room and the wall on the right hand side is lined with shelves that are displaying various decorative pieces.  Hanging from the ceiling is a large round white light fixture made of paper machee.",Interior design,living_room,741822857085471,4,"A room with two large windows to the rear of it.  In the center of a room is a coffee table.  There are three chairs and a couch arranged around the coffee table.  The chairs and the couch are all matching and appear to be made of wicker, they all have comfortable pillows and cushions on them.  There is a writing desk in the right corner of the room and the wall on the right hand side is lined with shelves that are displaying various decorative pieces.  Hanging from the ceiling is a large round white light fixture made of paper machee.",living_room11,541,103
