imgstem_version,texts,text_controls,clipscore
Dreifaltigkeitskirche_süd_version3,"a red brick church is in the midground of the image.  a cross is located on top of its steeple  in the foreground are a number of very worn, old gravestones.","a red brick church is in the midground of the image.  a cross is located on top of its steeple  in the foreground are a number of very worn, old gravestones.",0.6806640625
1600px-Covariant_Founding_Team_at_Covariant_HQ_Anno_November_2017_version1,Four men hold a discussion inside a room. The room is painted white. They're using a white dry-erase board with a green marker. Two of them sit at a white table. 4 computers and one phone sit on the table. A large window offers a view of a bay.,Four men hold a discussion inside a room. The room is painted white. They're using a white dry-erase board with a green marker. Two of them sit at a white table. 4 computers and one phone sit on the table. A large window offers a view of a bay.,0.6689453125
"Lago_de_Como,_Italia,_2016-06-25,_DD_02-06_PAN_version3","Vast green mountain ranges surround a body of water. Roads leading to small houses wind around the ranges, checkering the sides of the mountains with white and orange colors.","Vast green mountain ranges surround a body of water. Roads leading to small houses wind around the ranges, checkering the sides of the mountains with white and orange colors.",0.63916015625
wiki_livingroom_version3,Three people talk while sitting on couches around a coffee table in a living room.,Three people talk while sitting on couches around a coffee table in a living room.,0.75
"Oberaargletscher_from_Oberaar,_2010_07_version1",There is a passive set of mountain slopes with snow on top and between two mountains is a rift and a large body of water in forefront.,There is a passive set of mountain slopes with snow on top and between two mountains is a rift and a large body of water in forefront.,0.82080078125
640px-parc_agen,A park on a nice day with lots of grass and trees and a pond.,A park on a nice day with lots of grass and trees and a pond.,0.72802734375
"1599px-20180920_Fussball,_UEFA_Europa_League,_RB_Leipzig_-_FC_Salzburg_by_Stepro_StP_8051_version2",Two men on a soccer team sponsored by Red Bull wearing white jerseys are competing in a soccer match. There is a player from another team in a red jersey who is on the ground while a referee in blue is approaching the play.,Two men on a soccer team sponsored by Red Bull wearing white jerseys are competing in a soccer match. There is a player from another team in a red jersey who is on the ground while a referee in blue is approaching the play.,0.79541015625
La_Trobe_Uni_Wikimeetup_March_2020_version2,a group of people sitting around a conference table  with laptops while looking back at the camera,a group of people sitting around a conference table  with laptops while looking back at the camera,0.724609375
Living_room_at_35_Yowani_Rd_Rosedale_NSW_all_burnt_in_2019-12-19_bushfire_version4,"The interior design of a room. The room is full of wooden furniture including a wood couch, many chairs, a table, and shelves.","The interior design of a room. The room is full of wooden furniture including a wood couch, many chairs, a table, and shelves.",0.8154296875
"Thanksgiving_Dinner_Table,_Broward_County_Florida,_1971_02_version2",A table is set with a large turkey while a person is opening a bottle of wine.,A table is set with a large turkey while a person is opening a bottle of wine.,0.935546875
Wohnzimmer_Fallada_1_version3,There are wooden chairs around a round table that is also made out of wood. To the side of the table there is a wooden cabinet with glass doors used to keep tea cups.,There are wooden chairs around a round table that is also made out of wood. To the side of the table there is a wooden cabinet with glass doors used to keep tea cups.,0.69873046875
river_version1,The image shows a large river running through mountains in summer or early fall.,The image shows a large river running through mountains in summer or early fall.,0.7763671875
1599px-Paris_Notre-Dame_East_View_02_version1,A church is shown with a domed roof and dramatic spires,A church is shown with a domed roof and dramatic spires,0.75244140625
Earth_to_Table_DInner_with_Gunnar_Karl_Gíslason_(15640694895)_version2,"The image is that of a restaurant's kitchen. There are five cooks and one chef. The cooks and chef are preparing multiple, similar meals on a table. To the left of the chef and cooks is the kitchen, whose equipment is of stainless steel. Behind the equipment is the material needed to prepare the food.","The image is that of a restaurant's kitchen. There are five cooks and one chef. The cooks and chef are preparing multiple, similar meals on a table. To the left of the chef and cooks is the kitchen, whose equipment is of stainless steel. Behind the equipment is the material needed to prepare the food.",0.65673828125
"1443px-Iglesia_Nova_Gracanica,_Trebinje,_Bosnia_y_Herzegovina,_2014-04-14,_DD_04_version3","A building with various types of building material used including stone, brick, and metal.","A building with various types of building material used including stone, brick, and metal.",0.580078125
"1599px-20191002_Fußball,_Männer,_UEFA_Champions_League,_RB_Leipzig_-_Olympique_Lyonnais_by_Stepro_StP_0278_version5",This is a picture of a soccer stadium. A team is cheering next to a bunch of ad banners.,This is a picture of a soccer stadium. A team is cheering next to a bunch of ad banners.,0.626953125
1599px-Paris_Notre-Dame_East_View_02_version2,"In the photo you can see a huge cathedral of Gothic architecture in the middle of what appears to be trees, or an elaborate garden. The colors of the cathedral range from ivory to light emerald, without becoming intense. Although it is not done directly incapié, the photo frames the roof of the cathedral.","In the photo you can see a huge cathedral of Gothic architecture in the middle of what appears to be trees, or an elaborate garden. The colors of the cathedral range from ivory to light emerald, without becoming intense. Although it is not done directly incapié, the photo frames the roof of the cathedral.",0.8125
"1599px-20191002_Fußball,_Männer,_UEFA_Champions_League,_RB_Leipzig_-_Olympique_Lyonnais_by_Stepro_StP_0278_version1",A group of soccer players celebrate on the field,A group of soccer players celebrate on the field,0.703125
"Lago_de_Como,_Italia,_2016-06-25,_DD_02-06_PAN_version1",Large mountains with populated hillsides with a body of water in the middle.,Large mountains with populated hillsides with a body of water in the middle.,0.7353515625
"1599px-20191002_Fußball,_Männer,_UEFA_Champions_League,_RB_Leipzig_-_Olympique_Lyonnais_by_Stepro_StP_0278_version2",A group of men assembled on a soccer field wearing blue uniforms.,A group of men assembled on a soccer field wearing blue uniforms.,0.64404296875
1599px-Paris_Notre-Dame_East_View_02_version3,A building that looks like is made of concrete and steel. It has multiple roof shapes from A-frame to cone shaped.,A building that looks like is made of concrete and steel. It has multiple roof shapes from A-frame to cone shaped.,0.650390625
"Lago_de_Como,_Italia,_2016-06-25,_DD_02-06_PAN_version2",A large lake is shown that is surrounded by hills and mountains.,A large lake is shown that is surrounded by hills and mountains.,0.6650390625
"1599px-Georgios_Ntaviotis_&_Daniel_Souček,_U21_CZE-GRE_2019-10-10_version3","People in a stand are watching a soccer game. The focus is two players, one on the ground and the other standing behind him as the ball is coming to them.","People in a stand are watching a soccer game. The focus is two players, one on the ground and the other standing behind him as the ball is coming to them.",0.73046875
"1443px-Iglesia_Nova_Gracanica,_Trebinje,_Bosnia_y_Herzegovina,_2014-04-14,_DD_04_version1",The image shows a relatively small church on the ground.,The image shows a relatively small church on the ground.,0.6845703125
1600px-Covariant_Founding_Team_at_Covariant_HQ_Anno_November_2017_version2,a group of males in a room with laptops and two males standing up infront of a chalkboard explaining something to the other two males that are sitting down,a group of males in a room with laptops and two males standing up infront of a chalkboard explaining something to the other two males that are sitting down,0.7431640625
La_Trobe_Uni_Wikimeetup_March_2020_version1,"A group of nine people, three women and six men are sitting around a two boardroom meeting tables that have been pushed together. Each person except for one man has a laptop open in front of them. Each person is looking up from their laptops and looking at the camera and smiling. They are in an office setting in front of a large window. There is a clear view to the outside which is lush with greenery.","A group of nine people, three women and six men are sitting around a two boardroom meeting tables that have been pushed together. Each person except for one man has a laptop open in front of them. Each person is looking up from their laptops and looking at the camera and smiling. They are in an office setting in front of a large window. There is a clear view to the outside which is lush with greenery.",0.6962890625
"Oberaargletscher_from_Oberaar,_2010_07_version2",There is a snowy mountain range with a lower path between them.,There is a snowy mountain range with a lower path between them.,0.736328125
1600px-Covariant_Founding_Team_at_Covariant_HQ_Anno_November_2017_version4,Four men are working together in an office while using computers and white boards.,Four men are working together in an office while using computers and white boards.,0.671875
"1443px-Iglesia_Nova_Gracanica,_Trebinje,_Bosnia_y_Herzegovina,_2014-04-14,_DD_04_version2","A vintage church building is shown. The building is created out of square tan colored stone with rectangular brick accenting each layer of stone. The church building is constructed on a tiled floor in a lighter tan color. Portions of the roof are flat and there are separated domed, arched sections that are made in varying levels. Three of these sections have large, bright golden crosses on top of them. There are no visible windows but there are sections that contain five small, round holes that may be a window of some type","A vintage church building is shown. The building is created out of square tan colored stone with rectangular brick accenting each layer of stone. The church building is constructed on a tiled floor in a lighter tan color. Portions of the roof are flat and there are separated domed, arched sections that are made in varying levels. Three of these sections have large, bright golden crosses on top of them. There are no visible windows but there are sections that contain five small, round holes that may be a window of some type",0.68798828125
"1600px-2019-11-28_14_40_55_A_dinner_table_laid_out_for_Thanksgiving_Dinner_in_the_Parkway_Village_section_of_Ewing_Township,_Mercer_County,_New_Jersey_version2","There is a table set for dinner. The meal consists of some chicken, fruit, potatoes, salad, etc. There is also a picnic patterned placemet over the wood table.","There is a table set for dinner. The meal consists of some chicken, fruit, potatoes, salad, etc. There is also a picnic patterned placemet over the wood table.",0.80322265625
"1599px-20191002_Fußball,_Männer,_UEFA_Champions_League,_RB_Leipzig_-_Olympique_Lyonnais_by_Stepro_StP_0278_version3",players celebrating a goal,players celebrating a goal,0.73486328125
"1599px-Georgios_Ntaviotis_&_Daniel_Souček,_U21_CZE-GRE_2019-10-10_version2",A soccer field showing advertising billboards in the background.,A soccer field showing advertising billboards in the background.,0.6357421875
"1443px-Iglesia_Nova_Gracanica,_Trebinje,_Bosnia_y_Herzegovina,_2014-04-14,_DD_04_version4",A classic building with three Christian crosses on the roofs. The crosses represent an interpretation of Jesus' body.,A classic building with three Christian crosses on the roofs. The crosses represent an interpretation of Jesus' body.,0.69580078125
Wohnzimmer_Fallada_1_version2,"The image shows a dining room, with chairs set around a round table, and a china cabinet in the corner, and a chandelier overhead.  A second room with a red bookshelf and chair is visible.","The image shows a dining room, with chairs set around a round table, and a china cabinet in the corner, and a chandelier overhead.  A second room with a red bookshelf and chair is visible.",0.76220703125
Earth_to_Table_DInner_with_Gunnar_Karl_Gíslason_(15640694895)_version3,Chefs prepare plates of food.,Chefs prepare plates of food.,0.794921875
"1599px-Georgios_Ntaviotis_&_Daniel_Souček,_U21_CZE-GRE_2019-10-10_version1",two soccer players on the field,two soccer players on the field,0.7197265625
Dreifaltigkeitskirche_süd_version2,A traditional church made of brick with a tall steeple and a cross on top of it.,A traditional church made of brick with a tall steeple and a cross on top of it.,0.73779296875
"1600px-2019-11-28_14_40_55_A_dinner_table_laid_out_for_Thanksgiving_Dinner_in_the_Parkway_Village_section_of_Ewing_Township,_Mercer_County,_New_Jersey_version3","\nA table is set with a meal on it.  Included on the table are salads, potatoes, peas, pickles, and olives.","\nA table is set with a meal on it.  Included on the table are salads, potatoes, peas, pickles, and olives.",0.82275390625
Earth_to_Table_DInner_with_Gunnar_Karl_Gíslason_(15640694895)_version1,"a group of chefs in a kitchen getting meals ready for an event , they are all dressed in white","a group of chefs in a kitchen getting meals ready for an event , they are all dressed in white",0.78369140625
"1599px-20191002_Fußball,_Männer,_UEFA_Champions_League,_RB_Leipzig_-_Olympique_Lyonnais_by_Stepro_StP_0278_version4",Five soccer players celebrate a goal in a soccer match--the field is surrounded by advertising.,Five soccer players celebrate a goal in a soccer match--the field is surrounded by advertising.,0.73193359375
"Thanksgiving_Dinner_Table,_Broward_County_Florida,_1971_02_version4","A dining room table is set for dinner, with plates, knives, forks, spoons, and glasses, while a cooked turkey and floral centerpiece sit in the middle of the table.","A dining room table is set for dinner, with plates, knives, forks, spoons, and glasses, while a cooked turkey and floral centerpiece sit in the middle of the table.",0.90869140625
1599px-Paris_Notre-Dame_East_View_02_version4,A gothic style Cathedral seen through a courtyard.,A gothic style Cathedral seen through a courtyard.,0.7333984375
