texts,text_controls,SPURTS_score,MIMA_score
A classic building with three Christian crosses on the roofs. The crosses represent an interpretation of Jesus' body.,a classic building with three christian crosses on the roofs the crosses represent an interpretation of jesus' body,0.5149455070495605,0.47202956676483154
An orange and white guitar and a brown and white guitar being played.,an orange and white guitar and a brown and white guitar being played,0.40744227170944214,0.3704770803451538
This is a table filled with food and dishes. Appears to be an American Thanksgiving.,this is a table filled with food and dishes appears to be an american thanksgiving,0.3924306035041809,0.4342033863067627
"There is a table set for dinner. The meal consists of some chicken, fruit, potatoes, salad, etc. There is also a picnic patterned placemet over the wood table.","there is a table set for dinner the meal consists of some chicken, fruit, potatoes, salad, etc there is also a picnic patterned placemet over the wood table",0.4654061496257782,0.41475361585617065
"\nA table is set with a meal on it.  Included on the table are salads, potatoes, peas, pickles, and olives.","\na table is set with a meal on it  included on the table are salads, potatoes, peas, pickles, and olives",0.4815152883529663,0.43300390243530273
A dinner table is shown with food and drinks that will be consumed at a traditional dinner setting.,a dinner table is shown with food and drinks that will be consumed at a traditional dinner setting,0.3863799571990967,0.47364139556884766
A table is set with a large turkey while a person is opening a bottle of wine.,a table is set with a large turkey while a person is opening a bottle of wine,0.42711350321769714,0.4768896698951721
"A typical American dinner, as presented for a special occasion or holiday.","a typical american dinner, as presented for a special occasion or holiday",0.45356154441833496,0.46279841661453247
"A dining room table is set for dinner, with plates, knives, forks, spoons, and glasses, while a cooked turkey and floral centerpiece sit in the middle of the table.","a dining room table is set for dinner, with plates, knives, forks, spoons, and glasses, while a cooked turkey and floral centerpiece sit in the middle of the table",0.4788275957107544,0.4301954507827759
A table is set in a home and a turkey and wine are on the table.,a table is set in a home and a turkey and wine are on the table,0.3346339464187622,0.4309878945350647
"a group of chefs in a kitchen getting meals ready for an event , they are all dressed in white","a group of chefs in a kitchen getting meals ready for an event , they are all dressed in white",0.42829036712646484,0.4622315764427185
"The image is that of a restaurant's kitchen. There are five cooks and one chef. The cooks and chef are preparing multiple, similar meals on a table. To the left of the chef and cooks is the kitchen, whose equipment is of stainless steel. Behind the equipment is the material needed to prepare the food.","the image is that of a restaurant's kitchen there are five cooks and one chef the cooks and chef are preparing multiple, similar meals on a table to the left of the chef and cooks is the kitchen, whose equipment is of stainless steel behind the equipment is the material needed to prepare the food",0.4768292307853699,0.3709699511528015
Chefs prepare plates of food.,chefs prepare plates of food,0.40322351455688477,0.5791931748390198
dishes on a table,dishes on a table,0.2978959083557129,0.5140116214752197
A living room or den with two large windows that have sliding panes.,a living room or den with two large windows that have sliding panes,0.47986745834350586,0.5005885362625122
Wicker furniture surrounds a coffee table.,wicker furniture surrounds a coffee table,0.39936432242393494,0.54831463098526
"A small, cozy living room with three chairs, a couch, a shelf, a coffee table, and a wood stove.  Two large windows are in the back of the room looking out towards some trees.","a small, cozy living room with three chairs, a couch, a shelf, a coffee table, and a wood stove  two large windows are in the back of the room looking out towards some trees",0.458413302898407,0.4323660135269165
"The interior design of a room. The room is full of wooden furniture including a wood couch, many chairs, a table, and shelves.","the interior design of a room the room is full of wooden furniture including a wood couch, many chairs, a table, and shelves",0.45468926429748535,0.46016037464141846
"This is a room filled with couches, a table, a dresser and more. People are talking.","this is a room filled with couches, a table, a dresser and more people are talking",0.4101163148880005,0.4703364372253418
A family sitting inside their home with a window closed to the side of them protecting them from the outside weather.,a family sitting inside their home with a window closed to the side of them protecting them from the outside weather,0.4035298824310303,0.43515318632125854
Three people talk while sitting on couches around a coffee table in a living room.,three people talk while sitting on couches around a coffee table in a living room,0.41284558176994324,0.47925126552581787
The interior view of a dining room.,the interior view of a dining room,0.3704043924808502,0.5397068858146667
"The image shows a dining room, with chairs set around a round table, and a china cabinet in the corner, and a chandelier overhead.  A second room with a red bookshelf and chair is visible.","the image shows a dining room, with chairs set around a round table, and a china cabinet in the corner, and a chandelier overhead  a second room with a red bookshelf and chair is visible",0.5056418776512146,0.40347951650619507
There are wooden chairs around a round table that is also made out of wood. To the side of the table there is a wooden cabinet with glass doors used to keep tea cups.,there are wooden chairs around a round table that is also made out of wood to the side of the table there is a wooden cabinet with glass doors used to keep tea cups,0.4190595746040344,0.4563732147216797
Four men hold a discussion inside a room. The room is painted white. They're using a white dry-erase board with a green marker. Two of them sit at a white table. 4 computers and one phone sit on the table. A large window offers a view of a bay.,four men hold a discussion inside a room the room is painted white they're using a white dry-erase board with a green marker two of them sit at a white table 4 computers and one phone sit on the table a large window offers a view of a bay,0.5352996587753296,0.3618004322052002
a group of males in a room with laptops and two males standing up infront of a chalkboard explaining something to the other two males that are sitting down,a group of males in a room with laptops and two males standing up infront of a chalkboard explaining something to the other two males that are sitting down,0.41473522782325745,0.381571888923645
Two men give a presentation.,two men give a presentation,0.4080478250980377,0.556095689535141
Four men are working together in an office while using computers and white boards.,four men are working together in an office while using computers and white boards,0.47547346353530884,0.49427634477615356
"A group of nine people, three women and six men are sitting around a two boardroom meeting tables that have been pushed together. Each person except for one man has a laptop open in front of them. Each person is looking up from their laptops and looking at the camera and smiling. They are in an office setting in front of a large window. There is a clear view to the outside which is lush with greenery.","a group of nine people, three women and six men are sitting around a two boardroom meeting tables that have been pushed together each person except for one man has a laptop open in front of them each person is looking up from their laptops and looking at the camera and smiling they are in an office setting in front of a large window there is a clear view to the outside which is lush with greenery",0.4438496232032776,0.3616012930870056
a group of people sitting around a conference table  with laptops while looking back at the camera,a group of people sitting around a conference table  with laptops while looking back at the camera,0.47193464636802673,0.49737805128097534
A group of smiling people are sitting at a table in an office. Many of the people have open laptop computers in front of them.,a group of smiling people are sitting at a table in an office many of the people have open laptop computers in front of them,0.41623160243034363,0.4134901762008667
A group of people sitting at a table with computers in front of them and a screen on the wall with information as well.,a group of people sitting at a table with computers in front of them and a screen on the wall with information as well,0.4092763066291809,0.4102635383605957
It shows a group of humans sitting in a meeting together.,it shows a group of humans sitting in a meeting together,0.4017564058303833,0.49847412109375
a group of people sit around a conference table in front of laptop computers.,a group of people sit around a conference table in front of laptop computers,0.4357239305973053,0.5078085064888
There is a passive set of mountain slopes with snow on top and between two mountains is a rift and a large body of water in forefront.,there is a passive set of mountain slopes with snow on top and between two mountains is a rift and a large body of water in forefront,0.44110924005508423,0.42189353704452515
There is a snowy mountain range with a lower path between them.,there is a snowy mountain range with a lower path between them,0.33859723806381226,0.546880692243576
"Shown is a lake at the bottom of a mountain range. The mountains are high in elevation and contain snow on parts of it. As the snow melts, it enters the lake.","shown is a lake at the bottom of a mountain range the mountains are high in elevation and contain snow on parts of it as the snow melts, it enters the lake",0.40591633319854736,0.39775580167770386
The image shows a large river running through mountains in summer or early fall.,the image shows a large river running through mountains in summer or early fall,0.46684277057647705,0.483076810836792
A large river flowing across the land,a large river flowing across the land,0.3470504879951477,0.5491839647293091
This is a river flowing in the valley of a mountain. It is surrounded by shallow hills and trees.,this is a river flowing in the valley of a mountain it is surrounded by shallow hills and trees,0.3392678499221802,0.4442867040634155
A large river is seen from above as it curves around a large hill about 150 feet tall. Snow-capped mountains are in the background.,a large river is seen from above as it curves around a large hill about 150 feet tall snow-capped mountains are in the background,0.4412374496459961,0.45169705152511597
A river flowing through a valley with low hills in the forefront and high snow-peaked mountains in the distance.  The mountain peaks are partially cloud covered.,a river flowing through a valley with low hills in the forefront and high snow-peaked mountains in the distance  the mountain peaks are partially cloud covered,0.502820611000061,0.4191662073135376
Large mountains with populated hillsides with a body of water in the middle.,large mountains with populated hillsides with a body of water in the middle,0.4666154384613037,0.4630401134490967
A large lake is shown that is surrounded by hills and mountains.,a large lake is shown that is surrounded by hills and mountains,0.3684995472431183,0.47884678840637207
"Vast green mountain ranges surround a body of water. Roads leading to small houses wind around the ranges, checkering the sides of the mountains with white and orange colors.","vast green mountain ranges surround a body of water roads leading to small houses wind around the ranges, checkering the sides of the mountains with white and orange colors",0.5508834719657898,0.3882628083229065
A large body of water sandwiched between two large mountainous land masses.,a large body of water sandwiched between two large mountainous land masses,0.4417462646961212,0.5653309226036072
A park on a nice day with lots of grass and trees and a pond.,a park on a nice day with lots of grass and trees and a pond,0.42459213733673096,0.4895116686820984
two soccer players on the field,two soccer players on the field,0.30790847539901733,0.4994484782218933
A soccer field showing advertising billboards in the background.,a soccer field showing advertising billboards in the background,0.43573445081710815,0.5014281868934631
"People in a stand are watching a soccer game. The focus is two players, one on the ground and the other standing behind him as the ball is coming to them.","people in a stand are watching a soccer game the focus is two players, one on the ground and the other standing behind him as the ball is coming to them",0.36946290731430054,0.3762105703353882
One football player is kneeling while one on another team stands behind him. The ball is flying through the air and the seats are full of fans,one football player is kneeling while one on another team stands behind him the ball is flying through the air and the seats are full of fans,0.4500473737716675,0.41986358165740967
A group of men playing soccer as one tries to the kick the ball away from another.,a group of men playing soccer as one tries to the kick the ball away from another,0.46452778577804565,0.4307587146759033
Two men on a soccer team sponsored by Red Bull wearing white jerseys are competing in a soccer match. There is a player from another team in a red jersey who is on the ground while a referee in blue is approaching the play.,two men on a soccer team sponsored by red bull wearing white jerseys are competing in a soccer match there is a player from another team in a red jersey who is on the ground while a referee in blue is approaching the play,0.4708694517612457,0.3918258547782898
Three men trying to get to a soccer ball during a game. One man has fallen and two opposing team members are stopping next to him.,three men trying to get to a soccer ball during a game one man has fallen and two opposing team members are stopping next to him,0.48259538412094116,0.38384318351745605
A group of soccer players celebrate on the field,a group of soccer players celebrate on the field,0.32268357276916504,0.49446648359298706
A group of men assembled on a soccer field wearing blue uniforms.,a group of men assembled on a soccer field wearing blue uniforms,0.3893694281578064,0.5153937041759491
players celebrating a goal,players celebrating a goal,0.33747315406799316,0.6080592572689056
Five soccer players celebrate a goal in a soccer match--the field is surrounded by advertising.,five soccer players celebrate a goal in a soccer match--the field is surrounded by advertising,0.43097051978111267,0.4478614926338196
This is a picture of a soccer stadium. A team is cheering next to a bunch of ad banners.,this is a picture of a soccer stadium a team is cheering next to a bunch of ad banners,0.4204710125923157,0.4206915497779846
